time_s,ambient_temp,voltage_V,current_A,SOC_percent,coolant_flow,fan_speed,system_temp,overheat_risk
5520.0,35.24,,2.441,low,weak,medium,44.18,1
5580.0,43.69,4.056,0.767,,,2804,,1
,low,medium,1.9,58.3,normal,slow,37.55,0
5700.0,low,3.67,1.098,22.8,normal,2804,38.17,0
5760.0,low,3.71,2.221,,1.32,slow,39.06,0
5820.0,23.91,,2.371,91.4,,slow,warm,1
5880.0,37.23,3.955,0.902,46.8,strong,medium,46.55,1
5940.0,20.82,medium,1.081,53.1,strong,fast,31.86,0
,medium,3.887,1.845,86.8,weak,2804,27.61,0
6060.0,31.35,low,1.8,high,normal,slow,48.12,1
6120.0,43.1,3.558,1.508,64.4,strong,slow,44.04,1
6180.0,35.63,,,high,strong,medium,cool,0
6240.0,43.34,4.184,medium,84.0,weak,fast,29.95,0
6300.0,33.61,4.126,1.666,48.3,normal,slow,hot,1
6360.0,42.71,3.661,1.92,42.4,weak,slow,warm,1
6420.0,,,2.288,,strong,medium,25.32,0
6480.0,medium,3.69,2.255,87.4,1.32,medium,45.31,1
6540.0,40.61,3.979,0.526,51.2,normal,medium,29.09,0
6600.0,30.98,high,medium,89.2,strong,fast,45.55,1
6660.0,27.6,3.523,high,76.4,normal,2804,40.97,1
6720.0,26.81,3.72,medium,22.5,strong,2804,cool,0
6780.0,30.94,3.911,0.822,59.8,,fast,,0
6840.0,42.24,3.999,medium,medium,normal,medium,,1
6900.0,35.09,3.554,,44.2,strong,fast,,0
6960.0,,low,1.09,,strong,medium,hot,1
7020.0,40.9,4.095,0.565,23.0,normal,fast,52.61,1
7080.0,43.77,3.878,0.705,low,,fast,53.35,1
7140.0,36.81,4.018,,22.0,1.32,fast,26.27,0
7200.0,low,3.983,1.985,60.0,weak,2804,30.06,0
7260.0,24.38,,0.975,medium,normal,slow,47.91,1
7320.0,31.06,3.538,2.098,,1.32,slow,,1
7380.0,high,4.087,high,31.5,,medium,29.0,0
,40.36,4.038,medium,85.8,strong,fast,26.53,0
7500.0,31.75,3.778,2.413,74.1,strong,medium,30.11,0
,28.03,3.521,1.125,high,weak,2804,35.14,0
7620.0,low,medium,0.526,medium,1.32,2804,49.95,1
7680.0,37.34,3.749,high,61.8,normal,medium,50.73,1
7740.0,medium,3.802,2.221,low,strong,2804,warm,0
7800.0,33.75,3.962,0.951,67.5,strong,medium,cool,0
,27.86,,1.919,medium,normal,fast,hot,1
7920.0,44.25,low,1.677,28.2,strong,medium,31.52,0
7980.0,32.86,3.557,0.893,79.6,1.32,medium,52.99,1
,36.44,,0.887,medium,weak,2804,49.77,1
8100.0,30.33,3.608,2.467,36.8,normal,slow,warm,0
,,3.752,low,medium,strong,2804,,0
8220.0,32.46,medium,0.739,medium,normal,2804,,1
8280.0,21.29,4.033,medium,73.7,normal,2804,34.86,0
8340.0,low,low,0.76,low,strong,slow,,0
8400.0,30.95,,1.01,low,normal,,30.58,0
8460.0,23.04,3.859,1.919,64.8,strong,,28.04,0
8520.0,,low,low,high,weak,,27.54,0
8580.0,low,3.565,1.694,45.5,strong,slow,29.61,0
8640.0,20.34,3.727,1.751,high,,medium,warm,1
8700.0,25.62,3.704,,65.9,weak,medium,hot,0
8760.0,22.84,3.559,1.6,medium,strong,slow,warm,0
8820.0,36.19,4.134,high,,strong,medium,33.98,0
8880.0,high,3.9,0.94,30.4,strong,,,1
8940.0,high,medium,low,74.0,,medium,28.26,0
9000.0,medium,,0.819,low,strong,fast,50.18,1
9060.0,,3.845,1.307,medium,1.32,2804,warm,1
9120.0,29.59,medium,2.267,high,weak,slow,25.17,0
9180.0,,,1.162,70.4,1.32,slow,46.28,1
9240.0,41.6,3.554,high,55.7,normal,slow,warm,0
9300.0,medium,low,,46.6,weak,fast,warm,1
9360.0,39.69,3.847,2.462,high,normal,fast,34.94,0
9420.0,low,3.821,,26.3,weak,2804,hot,1
9480.0,medium,low,0.981,81.2,1.32,slow,warm,1
9540.0,34.5,3.733,2.337,27.4,weak,fast,54.49,1
,,4.063,,75.9,1.32,fast,warm,0
9660.0,32.11,3.734,1.142,medium,strong,2804,48.99,1
9720.0,39.07,4.102,2.39,76.8,normal,slow,34.75,0
9780.0,43.32,3.595,,38.5,,2804,51.45,1
9840.0,44.52,4.163,high,high,1.32,medium,52.71,1
,medium,medium,1.25,medium,1.32,fast,36.67,0
9960.0,medium,medium,1.391,76.0,weak,fast,cool,1
10020.0,high,,high,83.1,,medium,28.78,0
10080.0,42.84,3.844,high,56.3,strong,2804,25.41,0
10140.0,44.71,3.67,,medium,normal,2804,26.56,0
10200.0,36.3,4.072,high,medium,1.32,slow,37.89,0
10260.0,low,3.58,1.754,33.7,1.32,medium,25.24,0
10320.0,high,3.915,,68.4,strong,fast,33.47,0
10380.0,22.51,3.977,2.23,low,weak,slow,,1
10440.0,22.49,4.167,0.708,77.1,1.32,2804,cool,1
10500.0,20.38,3.996,1.905,,normal,slow,30.61,0
,high,3.704,2.05,83.4,1.32,medium,cool,0
10620.0,21.87,4.073,2.38,52.1,strong,fast,54.83,1
10680.0,26.63,3.786,0.808,69.7,,medium,warm,1
10740.0,29.94,3.943,1.163,97.9,weak,,hot,1
10800.0,medium,high,low,47.3,strong,slow,28.09,0
10860.0,41.48,medium,medium,67.3,,,43.33,1
10920.0,27.92,3.552,1.65,54.8,weak,fast,hot,0
,38.99,3.835,medium,63.6,strong,,29.46,0
11040.0,20.9,3.855,,high,weak,fast,,0
11100.0,high,3.984,1.133,79.1,strong,slow,cool,1
11160.0,27.18,4.054,0.737,86.9,normal,2804,,0
11220.0,,4.127,high,high,weak,medium,27.73,0
11280.0,22.46,3.947,2.012,64.4,1.32,slow,warm,1
11340.0,41.81,low,,,weak,fast,46.0,1
11400.0,37.35,3.749,high,25.6,strong,2804,31.65,0
11460.0,21.15,,high,high,strong,fast,,0
11520.0,27.33,3.974,0.673,50.3,,2804,26.55,0
11580.0,23.64,4.027,1.375,72.8,normal,slow,warm,1
11640.0,34.15,3.801,1.821,low,strong,slow,warm,1
11700.0,24.25,medium,1.567,92.3,1.32,fast,32.41,0
11760.0,medium,high,medium,,,medium,30.45,0
,26.02,3.906,2.199,low,strong,fast,hot,0
11880.0,23.58,3.812,high,43.3,weak,2804,31.36,0
11940.0,26.35,4.041,high,55.8,1.32,fast,52.25,1
12000.0,low,3.85,2.431,,strong,,cool,1
12060.0,31.63,3.517,1.796,high,,slow,warm,1
12120.0,,medium,0.522,95.5,normal,fast,34.13,0
12180.0,medium,3.56,0.783,,weak,2804,cool,0
12240.0,44.69,4.011,high,27.1,normal,medium,48.11,1
12300.0,medium,3.74,1.574,high,strong,fast,warm,1
12360.0,31.42,3.865,1.109,30.2,1.32,medium,35.84,0
,,3.568,2.307,medium,1.32,slow,40.87,1
12480.0,22.67,3.817,1.325,97.4,strong,slow,44.51,1
12540.0,28.97,low,1.525,high,strong,fast,warm,1
12600.0,high,3.581,low,48.7,normal,slow,cool,0
12660.0,high,3.954,1.005,89.3,1.32,2804,hot,0
12720.0,20.2,3.615,high,high,1.32,2804,26.23,0
12780.0,,3.671,2.205,70.0,strong,slow,51.52,1
12840.0,42.77,low,2.365,52.5,weak,medium,30.79,0
12900.0,40.82,3.798,1.423,36.9,1.32,2804,27.96,0
12960.0,39.39,4.058,1.081,low,,slow,43.57,1
13020.0,medium,,low,medium,normal,fast,39.23,0
13080.0,low,3.777,high,48.8,strong,2804,41.01,1
13140.0,,4.118,1.162,43.1,strong,2804,cool,1
13200.0,,3.801,high,30.0,normal,medium,hot,1
13260.0,35.71,low,medium,high,weak,slow,51.75,1
13320.0,36.16,,2.3,high,1.32,2804,50.38,1
13380.0,31.02,3.544,1.401,72.6,normal,2804,35.42,0
,38.31,high,1.111,30.9,1.32,fast,43.9,1
13500.0,medium,medium,1.631,medium,1.32,fast,warm,1
13560.0,30.39,low,1.133,91.5,,fast,warm,1
13620.0,high,medium,0.51,94.4,weak,,53.57,1
13680.0,29.15,3.947,low,56.4,strong,slow,30.01,0
13740.0,26.81,,1.782,85.6,strong,fast,cool,1
,medium,3.744,medium,38.1,normal,2804,hot,1
13860.0,,3.932,,20.6,strong,,hot,1
13920.0,40.11,3.994,,78.5,1.32,fast,warm,1
13980.0,21.88,high,2.05,41.5,1.32,medium,40.97,1
14040.0,25.64,3.97,,66.1,1.32,slow,27.25,0
14100.0,36.86,,0.664,low,weak,2804,40.28,1
14160.0,41.14,medium,low,76.4,weak,2804,36.71,0
14220.0,22.26,3.858,,medium,weak,fast,31.21,0
14280.0,26.61,3.597,1.753,26.4,strong,2804,hot,1
14340.0,,3.63,2.284,62.1,weak,slow,hot,1
14400.0,,3.985,1.763,,,slow,,0
14460.0,40.56,4.2,1.658,high,weak,2804,46.23,1
14520.0,22.71,3.843,0.926,high,1.32,slow,34.1,0
14580.0,low,medium,medium,medium,weak,2804,hot,0
14640.0,43.58,3.934,2.497,73.1,strong,2804,cool,1
14700.0,35.25,4.166,2.05,74.7,strong,medium,cool,0
14760.0,35.89,3.637,0.947,66.4,,2804,33.76,0
14820.0,37.53,3.893,1.966,92.3,weak,,,0
14880.0,22.92,3.786,,20.9,strong,slow,cool,1
14940.0,low,3.997,0.681,92.5,,medium,cool,0
15000.0,32.32,3.617,0.521,46.5,,slow,32.47,0
15060.0,high,4.057,high,98.2,strong,,41.04,1
,medium,low,2.014,low,strong,2804,warm,1
15180.0,43.73,high,low,high,normal,slow,54.17,1
15240.0,33.5,medium,high,78.2,,2804,53.39,1
15300.0,38.16,4.041,2.435,24.9,strong,2804,32.92,0
,36.37,3.858,1.467,33.5,1.32,slow,hot,0
15420.0,35.39,3.688,0.938,medium,strong,2804,cool,1
15480.0,,,0.626,69.9,1.32,2804,25.31,0
15540.0,25.43,4.03,,low,strong,medium,46.91,1
15600.0,25.9,3.809,medium,low,1.32,slow,warm,0
15660.0,44.52,medium,2.336,,normal,fast,41.12,1
15720.0,42.54,high,0.58,medium,strong,2804,,1
15780.0,21.51,3.708,0.706,medium,,2804,28.19,0
15840.0,low,3.815,1.767,low,weak,slow,,0
15900.0,40.6,4.072,high,,strong,,51.1,1
15960.0,low,4.196,,72.7,weak,2804,41.53,1
16020.0,34.93,3.666,1.253,34.0,normal,fast,31.62,0
16080.0,medium,3.912,,38.9,strong,medium,hot,1
,low,3.998,0.656,high,normal,medium,50.75,1
16200.0,25.13,3.616,low,,strong,,38.38,0
16260.0,33.86,,1.206,low,normal,fast,,0
16320.0,,4.064,1.474,,weak,fast,,1
16380.0,low,3.873,1.708,,normal,2804,cool,1
16440.0,34.9,3.618,0.778,50.7,1.32,slow,49.47,1
16500.0,low,3.705,low,78.1,weak,2804,,0
16560.0,33.51,4.167,1.062,high,weak,fast,46.88,1
16620.0,22.75,4.13,low,47.6,1.32,slow,25.63,0
16680.0,23.3,3.595,1.935,80.4,strong,medium,cool,0
16740.0,39.71,3.788,low,,weak,fast,,0
16800.0,20.39,medium,1.16,58.1,1.32,,cool,1
16860.0,low,3.589,high,95.9,normal,,cool,0
16920.0,33.15,3.675,0.921,38.7,weak,fast,44.35,1
16980.0,31.91,4.08,medium,51.2,1.32,slow,,1
17040.0,32.83,3.973,,high,normal,2804,cool,0
17100.0,high,3.904,high,20.9,weak,2804,36.34,0
17160.0,high,medium,high,55.9,weak,fast,cool,1
,high,3.553,2.282,96.9,normal,2804,44.33,1
17280.0,31.45,4.038,low,23.3,1.32,,cool,1
17340.0,21.52,4.025,low,,normal,medium,33.03,0
,30.04,4.114,1.311,54.5,1.32,fast,,1
17460.0,32.26,3.842,1.775,88.7,strong,2804,25.28,0
17520.0,21.84,,1.956,41.4,1.32,fast,41.27,1
17580.0,high,3.565,2.395,high,1.32,medium,,0
17640.0,low,3.944,high,56.9,1.32,medium,cool,0
17700.0,high,,2.235,39.3,weak,2804,41.89,1
17760.0,37.8,3.778,,81.6,weak,fast,29.89,0
,34.93,4.077,2.089,,weak,medium,29.64,0
,high,3.726,0.864,45.1,strong,slow,hot,0
17940.0,22.48,,1.029,low,strong,medium,hot,0
18000.0,41.32,3.896,1.185,21.0,1.32,slow,cool,0
18060.0,39.22,3.741,1.681,low,normal,slow,warm,1
18120.0,25.38,3.534,medium,48.1,weak,slow,warm,0
18180.0,25.71,medium,low,40.2,weak,fast,cool,0
18240.0,31.34,low,high,high,strong,slow,warm,0
18300.0,22.38,3.5,2.153,high,1.32,2804,35.6,0
18360.0,36.63,3.642,0.855,86.8,strong,,hot,1
18420.0,23.82,3.592,1.7,71.0,weak,slow,51.53,1
18480.0,21.68,3.611,1.563,29.6,,,28.37,0
18540.0,22.33,3.692,0.686,30.4,strong,slow,,1
18600.0,high,3.675,2.304,92.0,weak,slow,warm,0
18660.0,23.25,4.133,0.502,97.4,strong,slow,43.47,1
18720.0,high,medium,1.857,75.7,weak,2804,cool,1
18780.0,36.75,4.008,1.341,medium,strong,fast,43.14,1
18840.0,41.84,3.8,1.895,26.1,strong,slow,,0
18900.0,30.57,low,2.377,99.6,normal,slow,30.44,0
18960.0,21.29,medium,2.037,75.4,strong,medium,,0
19020.0,medium,high,2.109,81.6,1.32,fast,43.74,1
19080.0,34.45,high,2.174,low,1.32,slow,,0
19140.0,high,3.506,1.351,low,,fast,,0
19200.0,41.18,3.584,low,,weak,,52.99,1
19260.0,33.91,3.986,0.668,medium,strong,fast,46.34,1
19320.0,medium,,1.587,low,weak,fast,cool,0
19380.0,40.18,low,low,94.3,1.32,fast,54.34,1
,44.36,medium,2.079,34.3,normal,fast,29.4,0
19500.0,35.34,3.596,0.736,31.5,normal,,warm,0
19560.0,20.66,4.027,high,37.5,normal,2804,48.57,1
19620.0,40.74,high,medium,93.0,1.32,medium,27.02,0
19680.0,low,high,0.713,28.3,weak,slow,53.79,1
19740.0,,3.927,1.671,high,strong,slow,cool,0
19800.0,28.78,medium,high,82.2,strong,fast,28.83,0
19860.0,,3.94,1.231,medium,strong,medium,35.58,0
19920.0,30.02,medium,high,high,normal,fast,39.44,0
19980.0,high,3.81,0.907,low,,,43.05,1
20040.0,22.29,low,1.615,41.3,strong,fast,29.15,0
20100.0,29.4,low,high,92.4,weak,slow,52.65,1
20160.0,23.94,3.769,1.008,,normal,,41.48,1
20220.0,28.11,3.72,1.189,59.3,normal,medium,39.78,0
20280.0,34.91,medium,1.972,87.5,weak,fast,31.9,0
20340.0,23.89,3.674,,82.8,,medium,hot,0
20400.0,21.24,4.005,1.393,20.3,normal,medium,42.34,1
20460.0,medium,high,0.824,85.4,normal,2804,47.45,1
,32.14,high,medium,65.4,1.32,2804,32.06,0
20580.0,,3.644,2.102,48.7,normal,2804,,0
20640.0,22.85,,1.869,52.0,normal,slow,39.22,0
20700.0,27.08,3.952,medium,96.7,1.32,fast,cool,0
20760.0,32.17,4.056,0.511,high,1.32,medium,warm,1
20820.0,21.14,medium,low,47.2,weak,fast,50.48,1
20880.0,34.98,medium,1.7,80.8,weak,medium,29.18,0
20940.0,medium,3.55,medium,low,normal,fast,50.06,1
21000.0,39.18,3.508,low,low,weak,slow,52.94,1
21060.0,27.24,3.722,1.949,72.9,weak,2804,31.32,0
21120.0,medium,4.087,1.301,medium,weak,medium,,0
21180.0,24.39,3.882,1.073,70.4,normal,2804,hot,1
21240.0,37.59,medium,0.615,26.8,weak,slow,36.32,0
21300.0,40.83,4.039,0.851,78.8,strong,fast,warm,1
21360.0,21.8,low,0.521,low,,slow,46.04,1
21420.0,21.06,low,2.362,high,,slow,27.21,0
21480.0,low,low,0.889,medium,strong,,51.11,1
21540.0,34.39,,1.521,high,1.32,fast,warm,0
21600.0,37.74,high,1.73,60.0,strong,2804,cool,0
21660.0,22.88,3.791,1.219,84.9,strong,slow,hot,1
21720.0,,3.558,2.451,21.3,strong,slow,37.49,0
21780.0,high,3.931,medium,47.0,strong,medium,39.09,0
21840.0,37.24,medium,,52.4,strong,fast,hot,1
21900.0,30.92,low,1.672,high,strong,fast,33.99,0
21960.0,medium,3.609,1.974,56.7,weak,2804,35.12,0
22020.0,33.1,,low,89.9,strong,medium,45.86,1
,,3.955,1.952,high,weak,medium,cool,1
22140.0,28.33,3.717,1.666,low,1.32,fast,hot,0
22200.0,high,4.167,,low,strong,2804,cool,0
22260.0,33.27,low,low,21.5,weak,fast,25.33,0
22320.0,medium,medium,1.308,69.5,normal,,45.4,1
22380.0,,high,low,high,1.32,,41.62,1
22440.0,23.69,3.717,0.713,,strong,fast,52.57,1
,medium,4.018,medium,92.4,normal,fast,46.28,1
22560.0,high,high,0.734,27.8,1.32,medium,,1
22620.0,high,low,1.015,86.8,1.32,slow,40.65,1
22680.0,high,medium,2.087,,normal,slow,28.75,0
22740.0,38.86,4.048,medium,high,strong,2804,hot,1
22800.0,,,1.626,37.6,,slow,warm,0
22860.0,34.11,medium,2.015,54.1,strong,2804,hot,1
22920.0,35.61,3.583,1.418,98.6,,slow,43.15,1
22980.0,35.68,3.735,1.674,45.9,normal,fast,hot,0
23040.0,low,3.867,low,66.1,strong,2804,34.4,0
23100.0,35.78,high,,low,,slow,,0
23160.0,34.79,,2.488,67.4,1.32,,warm,0
23220.0,21.85,3.539,0.96,29.7,strong,,30.84,0
23280.0,20.94,3.617,2.411,medium,normal,2804,cool,0
23340.0,27.18,low,0.519,medium,normal,slow,48.36,1
23400.0,44.43,3.972,,55.1,strong,2804,32.19,0
23460.0,high,high,high,23.3,weak,,cool,0
23520.0,31.57,3.531,1.184,high,strong,2804,hot,0
23580.0,39.8,3.671,0.857,82.2,strong,2804,warm,0
,31.24,3.768,0.937,medium,normal,,cool,1
23700.0,36.3,low,,,,2804,25.97,0
23760.0,31.89,4.14,2.361,low,strong,medium,hot,1
23820.0,,3.794,high,67.5,strong,fast,41.91,1
23880.0,40.27,3.791,high,high,1.32,fast,26.37,0
23940.0,44.56,3.69,medium,81.8,strong,medium,53.31,1
24000.0,high,medium,low,36.5,1.32,slow,,1
24060.0,low,,2.173,61.8,1.32,fast,53.76,1
24120.0,44.77,3.626,,95.0,normal,2804,34.43,0
24180.0,35.25,4.187,low,,1.32,medium,35.68,0
24240.0,42.95,3.548,1.827,medium,1.32,2804,hot,1
24300.0,39.36,3.698,2.028,27.0,1.32,fast,warm,0
,21.31,3.729,0.585,44.1,weak,slow,40.11,1
24420.0,28.37,3.506,1.741,64.6,1.32,,48.25,1
24480.0,,,2.471,high,weak,medium,warm,1
24540.0,26.3,4.018,2.238,69.5,normal,slow,51.06,1
24600.0,44.11,medium,2.469,98.9,weak,fast,,1
24660.0,23.76,3.845,1.061,57.1,strong,slow,warm,1
24720.0,,3.637,high,36.6,,,hot,1
24780.0,medium,4.032,high,low,normal,medium,hot,1
24840.0,36.4,,1.457,74.8,1.32,,cool,0
,23.22,3.517,1.505,58.0,1.32,2804,44.63,1
24960.0,22.12,3.945,1.873,high,weak,medium,29.83,0
25020.0,36.09,,low,24.3,normal,slow,40.49,1
25080.0,23.19,4.031,1.42,36.8,1.32,fast,44.54,1
,43.68,4.017,0.524,high,1.32,2804,35.24,0
25200.0,42.81,3.644,high,,normal,fast,35.17,0
25260.0,high,3.794,medium,high,normal,2804,50.68,1
25320.0,29.05,4.181,1.019,high,weak,medium,51.72,1
25380.0,24.51,medium,0.974,low,strong,slow,36.63,0
25440.0,medium,low,1.726,29.3,1.32,2804,hot,1
25500.0,low,3.864,1.498,77.7,normal,2804,53.74,1
25560.0,medium,3.761,high,46.1,1.32,fast,54.83,1
,22.53,3.559,1.23,,1.32,fast,cool,1
25680.0,40.88,low,1.401,38.4,strong,fast,warm,1
25740.0,20.94,3.776,2.459,low,normal,slow,54.07,1
25800.0,39.16,3.544,2.128,high,1.32,slow,27.62,0
25860.0,medium,3.591,2.108,36.0,,2804,warm,0
25920.0,low,medium,2.213,25.9,weak,2804,,0
25980.0,39.28,3.775,high,24.3,strong,medium,warm,1
26040.0,24.14,3.728,low,37.3,normal,medium,35.6,0
,30.27,3.664,medium,34.2,,medium,hot,1
26160.0,25.94,3.595,high,56.6,strong,2804,32.74,0
26220.0,27.12,3.576,1.941,medium,,fast,32.68,0
26280.0,31.22,medium,1.1,36.2,,,44.51,1
26340.0,27.74,3.785,,,1.32,slow,cool,0
26400.0,31.73,4.175,1.881,42.4,1.32,2804,39.65,0
26460.0,29.2,medium,medium,medium,weak,fast,33.6,0
26520.0,44.61,4.097,1.76,33.7,strong,fast,43.59,1
26580.0,27.04,high,1.169,,weak,fast,38.22,0
26640.0,33.19,3.993,1.621,83.2,weak,slow,43.74,1
26700.0,40.42,3.651,,68.9,weak,medium,27.5,0
26760.0,23.46,3.604,low,high,strong,,38.5,0
26820.0,high,4.178,1.859,26.9,strong,,,1
26880.0,29.28,3.534,1.654,59.1,,slow,hot,0
26940.0,37.79,low,1.577,,normal,2804,cool,1
27000.0,23.12,medium,1.069,42.3,weak,slow,41.82,1
27060.0,low,3.889,1.521,78.9,,fast,cool,0
27120.0,high,3.566,1.394,medium,strong,2804,,1
27180.0,medium,,high,37.8,normal,slow,50.61,1
27240.0,low,low,high,,strong,fast,warm,0
27300.0,42.12,4.188,2.237,91.9,weak,medium,,1
27360.0,30.37,medium,2.357,,normal,slow,41.05,1
27420.0,29.35,,,78.7,,slow,28.27,0
27480.0,22.04,3.908,2.314,54.1,1.32,2804,,0
27540.0,medium,low,medium,84.8,strong,fast,,1
,40.98,low,medium,,weak,medium,30.98,0
27660.0,39.78,,1.921,26.6,normal,fast,34.52,0
27720.0,medium,3.59,1.291,75.5,weak,slow,39.59,0
27780.0,31.81,4.081,2.062,37.4,normal,slow,39.29,0
27840.0,38.97,3.53,,39.1,normal,2804,cool,1
27900.0,,3.618,,21.3,strong,medium,53.46,1
27960.0,20.48,4.075,low,32.9,normal,2804,,1
28020.0,low,3.521,low,65.6,strong,fast,25.94,0
28080.0,38.18,3.621,2.381,98.1,normal,slow,36.41,0
,22.78,low,0.66,31.1,,fast,35.84,0
28200.0,medium,medium,low,34.8,1.32,,39.2,0
28260.0,low,3.524,medium,70.1,1.32,slow,cool,0
28320.0,,3.672,0.553,20.1,weak,slow,45.51,1
28380.0,22.77,medium,2.03,,strong,slow,hot,0
28440.0,,3.835,medium,62.5,1.32,2804,cool,1
28500.0,high,medium,0.669,medium,1.32,slow,warm,0
28560.0,,low,1.28,69.0,strong,fast,hot,1
28620.0,low,4.058,high,36.6,normal,slow,37.59,0
28680.0,26.01,high,high,69.6,strong,fast,warm,1
